Program,Year,Period,Geo Level,State,State ANSI,watershed_code,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2024,YEAR,STATE,ALABAMA,1,0,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,112,
SURVEY,2024,YEAR,STATE,ALABAMA,1,0,CORN,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16,
SURVEY,2024,YEAR,STATE,ARIZONA,4,0,COTTON,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,225,
SURVEY,2024,YEAR,STATE,ARIZONA,4,0,COTTON,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,27,
SURVEY,2024,YEAR,STATE,ARKANSAS,5,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,187,
SURVEY,2024,YEAR,STATE,ARKANSAS,5,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20,
SURVEY,2024,YEAR,STATE,CALIFORNIA,6,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,182,
SURVEY,2024,YEAR,STATE,CALIFORNIA,6,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,26,
SURVEY,2024,YEAR,STATE,COLORADO,8,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,116,
SURVEY,2024,YEAR,STATE,COLORADO,8,0,OATS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.5,
SURVEY,2024,YEAR,STATE,CONNECTICUT,9,0,OATS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20,
SURVEY,2024,YEAR,STATE,DELAWARE,10,0,PEANUTS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,171,
SURVEY,2024,YEAR,STATE,DELAWARE,10,0,PEANUTS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23,
SURVEY,2024,YEAR,STATE,FLORIDA,12,0,SORGHUM,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,141,
SURVEY,2024,YEAR,STATE,FLORIDA,12,0,SORGHUM,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16,
SURVEY,2024,YEAR,STATE,GEORGIA,13,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,163,
SURVEY,2024,YEAR,STATE,GEORGIA,13,0,WHEAT,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21,
SURVEY,2024,YEAR,STATE,IDAHO,16,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,206,
SURVEY,2024,YEAR,STATE,IDAHO,16,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,30,
SURVEY,2024,YEAR,STATE,ILLINOIS,17,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,217,
SURVEY,2024,YEAR,STATE,ILLINOIS,17,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,24,
SURVEY,2024,YEAR,STATE,INDIANA,18,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,198,
SURVEY,2024,YEAR,STATE,INDIANA,18,0,PEANUTS,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23,
SURVEY,2024,YEAR,STATE,IOWA,19,0,PEANUTS,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,211,
SURVEY,2024,YEAR,STATE,IOWA,19,0,BARLEY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,24,
SURVEY,2024,YEAR,STATE,KANSAS,20,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,129,
SURVEY,2024,YEAR,STATE,KANSAS,20,0,BARLEY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16,
SURVEY,2024,YEAR,STATE,KENTUCKY,21,0,BARLEY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,178,
SURVEY,2024,YEAR,STATE,KENTUCKY,21,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19,
SURVEY,2024,YEAR,STATE,LOUISIANA,22,0,HAY,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,185,
SURVEY,2024,YEAR,STATE,LOUISIANA,22,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18,
SURVEY,2024,YEAR,STATE,MAINE,23,0,HAY,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19,
SURVEY,2024,YEAR,STATE,MARYLAND,24,0,WHEAT,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,143,
SURVEY,2024,YEAR,STATE,MARYLAND,24,0,WHEAT,"CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16,
